path,bytes,human,files,last_write,verdict,created_by,note
C:\Source\SixFive7\BrowserAI\Releases\BrowserAI.app-1.0.0-full.nupkg,50198035,47.9 MiB,1,2026-09-15 16:17:47,ASK,vpk pack 2026-09-15 16:17 (v1.0.0),"Same size as Releases\archive\BrowserAI.app-1.0.0-full.nupkg (both 50,198,035 B); still listed in RELEASES and releases.win.json."
C:\Source\SixFive7\BrowserAI\Releases\archive,302705069,288.7 MiB,51,2026-09-16 00:11:05,KEEP,kept release evidence,Named KEEP by the order. Holds 0.1.1 / 0.1.2 / 0.1.3 packs and manifests plus 1.0.0 / 1.0.1-alpha.0.2 / 1.0.1-alpha.0.19.
C:\Source\SixFive7\BrowserAI\Releases\test-pack,230080216,219.4 MiB,8,2026-09-16 00:11:05,ASK,vpk pack id BrowserAI.app.test (real-installer test arm),"Not covered by the order. The test pack is uninstalled, has no ARP key and no install root; these 8 files are only needed if the real-installer arm is re-run from a prebuilt pack."
C:\Source\SixFive7\BrowserAI\artifacts,523352970,499.1 MiB,420,2026-09-16 00:09:54,ASK,dotnet publish output (gitignored),"Build output, regenerable. Not old-version garbage, but it is reproducible bytes."
C:\Source\SixFive7\BrowserAI\payload,224832390,214.4 MiB,203,2026-09-15 13:41:22,KEEP,the bundled @playwright/mcp + node payload the build consumes,"Product input, not scratch."
C:\Source\SixFive7\BrowserAI\.work\2026-09-16-garbage,53111,51.9 KiB,2,2026-09-16 00:57:14,KEEP,"agent scratch (.work, gitignored)",today's or yesterday's batch
C:\Source\SixFive7\BrowserAI\.work\2026-09-16-review,1176,1.1 KiB,1,2026-09-16 00:48:30,KEEP,"agent scratch (.work, gitignored)",today's or yesterday's batch
C:\Source\SixFive7\BrowserAI\.work\2026-09-15-notes,1018552,994.7 KiB,80,2026-09-16 00:38:01,KEEP,"agent scratch (.work, gitignored)",today's or yesterday's batch
C:\Source\SixFive7\BrowserAI\.work\test-scratch,40713920,38.8 MiB,1222,2026-09-16 00:37:32,KEEP,"agent scratch (.work, gitignored)",today's or yesterday's batch
C:\Source\SixFive7\BrowserAI\.work\first-run-cache,458476296,437.2 MiB,317,2026-09-16 00:05:37,KEEP,"agent scratch (.work, gitignored)",today's or yesterday's batch
C:\Source\SixFive7\BrowserAI\.work\suite,1841576,1.8 MiB,203,2026-09-15 23:05:05,KEEP,"agent scratch (.work, gitignored)",today's or yesterday's batch
C:\Source\SixFive7\BrowserAI\.work\2026-09-15-app,393510187,375.3 MiB,68,2026-09-15 23:00:40,KEEP,"agent scratch (.work, gitignored)",today's or yesterday's batch
C:\Source\SixFive7\BrowserAI\.work\2026-09-15-fix,267711,261.4 KiB,54,2026-09-15 18:24:50,KEEP,"agent scratch (.work, gitignored)",today's or yesterday's batch
C:\Source\SixFive7\BrowserAI\.work\2026-09-15-icons,820300,801.1 KiB,58,2026-09-15 18:19:44,KEEP,"agent scratch (.work, gitignored)",today's or yesterday's batch
C:\Source\SixFive7\BrowserAI\.work\2026-09-15-welcome-app,0,0 B,0,2026-09-15 17:13:31,KEEP,"agent scratch (.work, gitignored)",today's or yesterday's batch
C:\Source\SixFive7\BrowserAI\.work\2026-09-15-velopack-src,571840000,545.3 MiB,1125,2026-09-15 16:49:44,KEEP,"agent scratch (.work, gitignored)",today's or yesterday's batch
C:\Source\SixFive7\BrowserAI\.work\2026-09-15-install,55282606,52.7 MiB,22,2026-09-15 16:38:32,KEEP,"agent scratch (.work, gitignored)",today's or yesterday's batch
C:\Source\SixFive7\BrowserAI\.work\2026-09-15-release,420140655,400.7 MiB,75,2026-09-15 16:27:04,KEEP,"agent scratch (.work, gitignored)",today's or yesterday's batch
C:\Source\SixFive7\BrowserAI\.work\2026-09-15-writer,388695,379.6 KiB,17,2026-09-15 15:40:20,KEEP,"agent scratch (.work, gitignored)",today's or yesterday's batch
C:\Source\SixFive7\BrowserAI\.work\upstream-snapshots,110004,107.4 KiB,5,2026-09-15 13:41:29,KEEP,"agent scratch (.work, gitignored)",today's or yesterday's batch
C:\Source\SixFive7\BrowserAI\.work\2026-09-15-preservation,205542879,196.0 MiB,22,2026-09-15 10:12:29,KEEP,"agent scratch (.work, gitignored)",today's or yesterday's batch
C:\Source\SixFive7\BrowserAI\.work\2026-09-15-branchoff,84474,82.5 KiB,5,2026-09-15 08:25:31,KEEP,"agent scratch (.work, gitignored)",today's or yesterday's batch
C:\Source\SixFive7\BrowserAI\.work\2026-09-15-upstream,230596872,219.9 MiB,437,2026-09-15 08:14:22,KEEP,"agent scratch (.work, gitignored)",today's or yesterday's batch
C:\Source\SixFive7\BrowserAI\.work\ilc,712,712 B,2,2026-09-15 07:25:56,KEEP,"agent scratch (.work, gitignored)",today's or yesterday's batch
C:\Source\SixFive7\BrowserAI\.work\2026-09-15-velopack-ask,291722,284.9 KiB,44,2026-09-15 07:15:53,KEEP,"agent scratch (.work, gitignored)",today's or yesterday's batch
C:\Source\SixFive7\BrowserAI\.work\2026-09-15-installdir,637062,622.1 KiB,4,2026-09-15 06:59:11,KEEP,"agent scratch (.work, gitignored)",today's or yesterday's batch
C:\Source\SixFive7\BrowserAI\.work\2026-09-14-firstrun,422236,412.3 KiB,14,2026-09-14 23:14:13,KEEP,"agent scratch (.work, gitignored)",cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\2026-09-14-webp-ask,1908054,1.8 MiB,47,2026-09-14 23:11:26,KEEP,"agent scratch (.work, gitignored)",cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\2026-09-14-probes,42770370,40.8 MiB,628,2026-09-14 22:48:12,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\2026-09-14-upstream,40248969,38.4 MiB,472,2026-09-14 20:03:43,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\subagent-model-2.1.270,189437,185.0 KiB,42,2026-09-14 19:38:35,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\2026-09-06-systemwide,415839669,396.6 MiB,232,2026-09-06 17:10:14,KEEP,"agent scratch (.work, gitignored)",cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\2026-08-30-q160,44007,43.0 KiB,14,2026-08-30 04:32:54,KEEP,"agent scratch (.work, gitignored)",cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\2026-08-30-q158,6786,6.6 KiB,3,2026-08-30 04:11:21,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\2026-08-30-q156,374714,365.9 KiB,8,2026-08-30 03:31:00,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\2026-08-30-tee,67436,65.9 KiB,18,2026-08-30 03:12:05,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\r3,148473,145.0 KiB,25,2026-08-30 01:13:30,KEEP,"agent scratch (.work, gitignored)",cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\r1,219465,214.3 KiB,8,2026-08-29 22:29:36,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\redplant,53062,51.8 KiB,9,2026-08-29 14:48:36,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\2026-08-29-exit-one,204220958,194.8 MiB,4980,2026-08-29 03:28:36,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\2026-08-27-desktop-heap,538701760,513.7 MiB,14017,2026-08-29 03:20:58,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\2026-08-29-c2,39550,38.6 KiB,8,2026-08-29 02:48:29,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\2026-08-27-sandbox-confirm,447342,436.9 KiB,38,2026-08-29 01:46:12,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\node-review,34910,34.1 KiB,14,2026-08-27 16:48:36,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\2026-08-27-upstream-asks,41583,40.6 KiB,11,2026-08-27 09:02:18,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\p7fix,461415,450.6 KiB,21,2026-08-26 23:20:00,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\p7,199604,194.9 KiB,40,2026-08-26 20:24:33,KEEP,"agent scratch (.work, gitignored)",cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\p6,341474,333.5 KiB,28,2026-08-26 19:45:26,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\p5,172274,168.2 KiB,12,2026-08-26 18:41:13,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\p2,976190,953.3 KiB,71,2026-08-26 15:15:54,KEEP,"agent scratch (.work, gitignored)",cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\p1,266642,260.4 KiB,37,2026-08-26 13:45:32,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\sqlite-p0,24742119,23.6 MiB,74,2026-08-26 12:29:43,KEEP,"agent scratch (.work, gitignored)",cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\w,524216,511.9 KiB,37,2026-08-24 23:14:02,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\f-batch,421190,411.3 KiB,99,2026-08-24 08:51:31,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\filter-trap,97749,95.5 KiB,25,2026-08-24 07:24:55,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\merge,79599,77.7 KiB,8,2026-08-24 06:46:16,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\merge-a3b,145243,141.8 KiB,9,2026-08-24 05:52:50,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\focus,65912,64.4 KiB,3,2026-08-24 01:43:10,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\plant,165066,161.2 KiB,4,2026-08-24 00:14:07,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\nowindow,8374,8.2 KiB,8,2026-08-23 20:33:10,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\why-probe,25819,25.2 KiB,11,2026-08-20 18:49:41,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\imagecap,15720837,15.0 MiB,78,2026-08-20 13:04:47,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\probe-sandbox,12285842,11.7 MiB,524,2026-08-20 12:25:09,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\probe-persistent,235054267,224.2 MiB,3058,2026-08-20 12:24:21,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\tls,2886,2.8 KiB,2,2026-08-20 12:20:58,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\probe-tools,523,523 B,1,2026-08-20 12:18:26,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\lab,248681973,237.2 MiB,3791,2026-08-20 11:00:17,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\fixtures,301,301 B,4,2026-08-20 10:54:29,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\mcpsrc,132844,129.7 KiB,17,2026-08-20 10:41:39,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\fingerprint-probe,78455844,74.8 MiB,304,2026-08-19 19:03:32,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\stall-measure,1259459945,1.2 GiB,711,2026-08-19 18:24:23,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\research-upstream-auth-transfer,431711520,411.7 MiB,3300,2026-08-19 16:35:57,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\runs,302925,295.8 KiB,62,2026-08-19 08:52:21,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\item1-shared,3776757,3.6 MiB,10,2026-08-19 04:32:33,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\ci-attempt1,102081,99.7 KiB,3,2026-08-19 03:04:31,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\__pycache__,53542,52.3 KiB,6,2026-08-19 02:35:37,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\2026-08-19-firefox-offered,10436,10.2 KiB,7,2026-08-19 02:07:07,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\2026-08-19-boundary-refusals,36953,36.1 KiB,21,2026-08-19 01:24:51,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\inline-image,7635,7.5 KiB,4,2026-08-19 00:04:29,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\cookies,13118061,12.5 MiB,174,2026-08-18 16:21:02,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\annotate,13297309,12.7 MiB,208,2026-08-18 16:18:36,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\sweep,46407,45.3 KiB,18,2026-08-18 15:45:30,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\probe-race,13762,13.4 KiB,6,2026-08-18 14:56:25,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\truncation,1774789,1.7 MiB,64,2026-08-18 10:39:07,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\budget,86729,84.7 KiB,4,2026-08-18 09:35:49,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\streak,0,0 B,0,2026-08-18 07:36:27,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\chromium-ceiling,0,0 B,0,2026-08-18 07:02:42,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\race-rig-200-fixed,0,0 B,0,2026-08-18 06:50:48,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\race-rig-200,2721662,2.6 MiB,3216,2026-08-18 06:46:51,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
